uid,semester,attendance
24-AI&MLA27-28,Semester 2,95
24-AI&MLA28-28,Semester 2,86
24-AI&MLA29-28,Semester 2,86
24-AI&MLA30-28,Semester 2,91
24-AI&MLA31-28,Semester 2,81
24-AI&MLA32-28,Semester 2,81
24-AI&MLA33-28,Semester 2,86
24-AI&MLA34-28,Semester 2,84
24-AI&MLA35-28,Semester 2,85
24-AI&MLA36-28,Semester 2,86
24-AI&MLA37-28,Semester 2,79
24-AI&MLA38-28,Semester 2,91
24-AI&MLA39-28,Semester 2,96
24-AI&MLA40-28,Semester 2,96
24-AI&MLA41-28,Semester 2,80
24-AI&MLA42-28,Semester 2,80
24-AI&MLA43-28,Semester 2,87
24-AI&MLA44-28,Semester 2,81
24-AI&MLA45-28,Semester 2,91
24-AI&MLA46-28,Semester 2,94
24-AI&MLA47-28,Semester 2,98
24-AI&MLA48-28,Semester 2,76
24-AI&MLA49-28,Semester 2,83
24-AI&MLA50-28,Semester 2,89
24-AI&MLA51-28,Semester 2,88
24-AI&MLA52-28,Semester 2,81
24-AI&MLA53-28,Semester 2,98
24-AI&MLA54-28,Semester 2,92
24-AI&MLA55-28,Semester 2,83
24-AI&MLA56-28,Semester 2,97
24-AI&MLA57-28,Semester 2,80
24-AI&MLA58-28,Semester 2,79
24-AI&MLA59-28,Semester 2,80
24-AI&MLA60-28,Semester 2,86
24-AI&MLA61-28,Semester 2,90
24-AI&MLA62-28,Semester 2,80
25-AI&MLA64-28,Semester 2,0
25-AI&MLA65-28,Semester 2,0
25-AI&MLA66-28,Semester 2,0
25-AI&MLA67-28,Semester 2,0
25-AI&MLA68-28,Semester 2,0
25-AI&MLA69-28,Semester 2,0
24-AI&MLB01-28,Semester 2,0
24-AI&MLB02-28,Semester 2,83
24-AI&MLB03-28,Semester 2,88
24-AI&MLB04-28,Semester 2,95
24-AI&MLB05-28,Semester 2,82
24-AI&MLB06-28,Semester 2,84
24-AI&MLB07-28,Semester 2,89
24-AI&MLB08-28,Semester 2,86
24-AI&MLB09-28,Semester 2,84
24-AI&MLB10-28,Semester 2,81
24-AI&MLB11-28,Semester 2,94
24-AI&MLB12-28,Semester 2,81
24-AI&MLB13-28,Semester 2,88
24-AI&MLB14-28,Semester 2,77
24-AI&MLB15-28,Semester 2,89
24-AI&MLB16-28,Semester 2,94
24-AI&MLB17-28,Semester 2,87
24-AI&MLB18-28,Semester 2,85
24-AI&MLB19-28,Semester 2,88
24-AI&MLB20-28,Semester 2,83
24-AI&MLB21-28,Semester 2,92
24-AI&MLB22-28,Semester 2,90
24-AI&MLB23-28,Semester 2,81
24-AI&MLB24-28,Semester 2,78
24-AI&MLB25-28,Semester 2,90
24-AI&MLB26-28,Semester 2,96
24-AI&MLB27-28,Semester 2,92
24-AI&MLB28-28,Semester 2,79
24-AI&MLB29-28,Semester 2,79
24-AI&MLB30-28,Semester 2,90
24-AI&MLB31-28,Semester 2,91
24-AI&MLB32-28,Semester 2,84
24-AI&MLB33-28,Semester 2,83
24-AI&MLB34-28,Semester 2,81
24-AI&MLB35-28,Semester 2,85
24-AI&MLB36-28,Semester 2,96
24-AI&MLB37-28,Semester 2,87
24-AI&MLB38-28,Semester 2,88
24-AI&MLB39-28,Semester 2,87
24-AI&MLB40-28,Semester 2,81
24-AI&MLB41-28,Semester 2,81
24-AI&MLB42-28,Semester 2,93
24-AI&MLB43-28,Semester 2,87
24-AI&MLB44-28,Semester 2,93
24-AI&MLB45-28,Semester 2,80
24-AI&MLB46-28,Semester 2,81
24-AI&MLB47-28,Semester 2,86
24-AI&MLB48-28,Semester 2,81
24-AI&MLB49-28,Semester 2,86
24-AI&MLB50-28,Semester 2,76
24-AI&MLB51-28,Semester 2,90
24-AI&MLB52-28,Semester 2,77
24-AI&MLB53-28,Semester 2,77
24-AI&MLB54-28,Semester 2,79
24-AI&MLB55-28,Semester 2,80
24-AI&MLB56-28,Semester 2,83
24-AI&MLB57-28,Semester 2,92
24-AI&MLB58-28,Semester 2,92
24-AI&MLB59-28,Semester 2,88
24-AI&MLB60-28,Semester 2,92
24-AI&MLB61-28,Semester 2,74
24-AI&MLB62-28,Semester 2,85
24-AI&MLB63-28,Semester 2,91
25-AI&MLB64-28,Semester 2,0
25-AI&MLB65-28,Semester 2,0
25-AI&MLB66-28,Semester 2,0
25-AI&MLB67-28,Semester 2,0
25-AI&MLB68-28,Semester 2,0
25-AI&MLB69-28,Semester 2,0
24-AI&MLC01-28,Semester 2,0
24-AI&MLC02-28,Semester 2,78
24-AI&MLC03-28,Semester 2,79
24-AI&MLC04-28,Semester 2,80
24-AI&MLC05-28,Semester 2,79
24-AI&MLC06-28,Semester 2,86
24-AI&MLC07-28,Semester 2,81
24-AI&MLC08-28,Semester 2,79
24-AI&MLC09-28,Semester 2,90
24-AI&MLC10-28,Semester 2,81
24-AI&MLC11-28,Semester 2,79
24-AI&MLC12-28,Semester 2,80
24-AI&MLC13-28,Semester 2,74
24-AI&MLC14-28,Semester 2,78
24-AI&MLC15-28,Semester 2,82
24-AI&MLC16-28,Semester 2,82
24-AI&MLC17-28,Semester 2,83
24-AI&MLC18-28,Semester 2,81
24-AI&MLC19-28,Semester 2,82
24-AI&MLC20-28,Semester 2,88
24-AI&MLC21-28,Semester 2,78
24-AI&MLC22-28,Semester 2,93
24-AI&MLC23-28,Semester 2,83
24-AI&MLC24-28,Semester 2,85
24-AI&MLC25-28,Semester 2,78
24-AI&MLC26-28,Semester 2,80
24-AI&MLC27-28,Semester 2,78
24-AI&MLC28-28,Semester 2,81
24-AI&MLC29-28,Semester 2,80
24-AI&MLC30-28,Semester 2,80
24-AI&MLC31-28,Semester 2,79
24-AI&MLC32-28,Semester 2,81
24-AI&MLC33-28,Semester 2,75
24-AI&MLC34-28,Semester 2,86
24-AI&MLC35-28,Semester 2,84
24-AI&MLC36-28,Semester 2,88
24-AI&MLC37-28,Semester 2,79
24-AI&MLC38-28,Semester 2,78
24-AI&MLC39-28,Semester 2,78
24-AI&MLC40-28,Semester 2,84
24-AI&MLC41-28,Semester 2,80
24-AI&MLC42-28,Semester 2,92
24-AI&MLC43-28,Semester 2,86
24-AI&MLC44-28,Semester 2,84
24-AI&MLC45-28,Semester 2,89
24-AI&MLC46-28,Semester 2,78
24-AI&MLC47-28,Semester 2,78
24-AI&MLC48-28,Semester 2,78
24-AI&MLC49-28,Semester 2,91
24-AI&MLC50-28,Semester 2,79
24-AI&MLC51-28,Semester 2,80
24-AI&MLC52-28,Semester 2,84
24-AI&MLC53-28,Semester 2,94
24-AI&MLC54-28,Semester 2,92
24-AI&MLC55-28,Semester 2,79
24-AI&MLC56-28,Semester 2,95
24-AI&MLC57-28,Semester 2,81
24-AI&MLC58-28,Semester 2,86
24-AI&MLC59-28,Semester 2,90
24-AI&MLC60-28,Semester 2,92
24-AI&MLC61-28,Semester 2,83
24-AI&MLC62-28,Semester 2,80
24-AI&MLC63-28,Semester 2,84
25-AI&MLC64-28,Semester 2,0
25-AI&MLC65-28,Semester 2,0
25-AI&MLC66-28,Semester 2,0
25-AI&MLC67-28,Semester 2,0
25-AI&MLC68-28,Semester 2,0
25-AI&MLC69-28,Semester 2,0
25-AI&MLC70-28,Semester 2,0
24-CIVIL01-28,Semester 2,0
24-CIVIL02-28,Semester 2,83
24-CIVIL03-28,Semester 2,78
24-CIVIL04-28,Semester 2,83
24-CIVIL05-28,Semester 2,83
24-CIVIL06-28,Semester 2,79
24-CIVIL07-28,Semester 2,78
24-CIVIL08-28,Semester 2,86
24-CIVIL09-28,Semester 2,83
24-CIVIL10-28,Semester 2,73
24-CIVIL11-28,Semester 2,73
24-CIVIL12-28,Semester 2,73
24-CIVIL13-28,Semester 2,81
24-CIVIL14-28,Semester 2,79
24-CIVIL15-28,Semester 2,78
24-CIVIL16-28,Semester 2,87
24-CIVIL17-28,Semester 2,83
24-CIVIL18-28,Semester 2,83
24-CIVIL19-28,Semester 2,83
24-CIVIL20-28,Semester 2,83
24-CIVIL21-28,Semester 2,83
24-CIVIL22-28,Semester 2,81
24-CIVIL23-28,Semester 2,87
24-CIVIL24-28,Semester 2,82
24-CIVIL25-28,Semester 2,89
24-CIVIL26-28,Semester 2,77
24-CIVIL27-28,Semester 2,80
24-CIVIL28-28,Semester 2,80
24-CIVIL29-28,Semester 2,79
24-CIVIL30-28,Semester 2,77
24-CIVIL31-28,Semester 2,81
24-CIVIL32-28,Semester 2,85
24-CIVIL33-28,Semester 2,85
24-CIVIL34-28,Semester 2,78
24-CIVIL35-28,Semester 2,78
24-CIVIL36-28,Semester 2,87
24-CIVIL37-28,Semester 2,91
24-CIVIL38-28,Semester 2,94
24-CIVIL39-28,Semester 2,80
24-CIVIL40-28,Semester 2,73
24-CIVIL41-28,Semester 2,80
24-CIVIL42-28,Semester 2,78
24-CIVIL43-28,Semester 2,78
24-CIVIL44-28,Semester 2,79
24-CIVIL45-28,Semester 2,79
24-CIVIL46-28,Semester 2,89
24-CIVIL47-28,Semester 2,78
24-CIVIL48-28,Semester 2,81
24-CIVIL49-28,Semester 2,86
24-CIVIL50-28,Semester 2,88
24-CIVIL51-28,Semester 2,89
24-CIVIL52-28,Semester 2,82
24-CIVIL53-28,Semester 2,88
24-CIVIL54-28,Semester 2,82
24-CIVIL55-28,Semester 2,79
24-CIVIL56-28,Semester 2,81
24-CIVIL57-28,Semester 2,81
24-CIVIL58-28,Semester 2,80
24-CIVIL59-28,Semester 2,78
24-CIVIL60-28,Semester 2,80
24-CIVIL61-28,Semester 2,79
24-CIVIL62-28,Semester 2,79
24-CIVIL63-28,Semester 2,88
24-CIVIL64-28,Semester 2,81
24-CIVIL65-28,Semester 2,81
25-CIVIL66-28,Semester 2,0
25-CIVIL67-29,Semester 2,0
25-CIVIL68-30,Semester 2,0
25-CIVIL69-31,Semester 2,0
25-CIVIL70-32,Semester 2,0
25-CIVIL71-33,Semester 2,0
24-COMPA01-28,Semester 2,0
24-COMPA02-28,Semester 2,83
24-COMPA03-28,Semester 2,94
24-COMPA04-28,Semester 2,87
24-COMPA05-28,Semester 2,81
24-COMPA06-28,Semester 2,94
24-COMPA07-28,Semester 2,80
24-COMPA08-28,Semester 2,78
24-COMPA09-28,Semester 2,84
24-COMPA10-28,Semester 2,91
24-COMPA11-28,Semester 2,79
24-COMPA12-28,Semester 2,79
24-COMPA13-28,Semester 2,79
24-COMPA14-28,Semester 2,78
24-COMPA15-28,Semester 2,94
24-COMPA16-28,Semester 2,94
24-COMPA17-28,Semester 2,97
24-COMPA18-28,Semester 2,89
24-COMPA19-28,Semester 2,84
24-COMPA20-28,Semester 2,81
24-COMPA21-28,Semester 2,94
24-COMPA22-28,Semester 2,97
24-COMPA23-28,Semester 2,83
24-COMPA24-28,Semester 2,83
24-COMPA25-28,Semester 2,86
24-COMPA26-28,Semester 2,78
24-COMPA27-28,Semester 2,79
24-COMPA28-28,Semester 2,96
24-COMPA29-28,Semester 2,81
24-COMPA30-28,Semester 2,90
24-COMPA31-28,Semester 2,96
24-COMPA32-28,Semester 2,77
24-COMPA33-28,Semester 2,98
24-COMPA34-28,Semester 2,85
24-COMPA35-28,Semester 2,88
24-COMPA36-28,Semester 2,89
24-COMPA37-28,Semester 2,81
24-COMPA38-28,Semester 2,90
24-COMPA39-28,Semester 2,82
24-COMPA40-28,Semester 2,84
24-COMPA41-28,Semester 2,84
24-COMPA42-28,Semester 2,91
24-COMPA43-28,Semester 2,96
24-COMPA44-28,Semester 2,89
24-COMPA45-28,Semester 2,95
24-COMPA46-28,Semester 2,94
24-COMPA47-28,Semester 2,79
24-COMPA48-28,Semester 2,92
24-COMPA49-28,Semester 2,93
24-COMPA50-28,Semester 2,90
24-COMPA51-28,Semester 2,96
24-COMPA52-28,Semester 2,92
24-COMPA53-28,Semester 2,88
24-COMPA54-28,Semester 2,87
24-COMPA55-28,Semester 2,92
24-COMPA56-28,Semester 2,73
24-COMPA57-28,Semester 2,84
24-COMPA58-28,Semester 2,96
24-COMPA59-28,Semester 2,93
24-COMPA60-28,Semester 2,88
24-COMPA61-28,Semester 2,81
24-COMPA62-28,Semester 2,97
24-COMPA63-28,Semester 2,89
24-COMPA64-28,Semester 2,89
25-COMPA65-28,Semester 2,0
25-COMPA66-28,Semester 2,0
25-COMPA67-28,Semester 2,0
25-COMPA68-28,Semester 2,0
25-COMPA69-28,Semester 2,0
25-COMPA70-28,Semester 2,0
24-COMPB01-28,Semester 2,0
24-COMPB02-28,Semester 2,80
24-COMPB03-28,Semester 2,79
24-COMPB04-28,Semester 2,96
24-COMPB05-28,Semester 2,78
24-COMPB06-28,Semester 2,87
24-COMPB07-28,Semester 2,95
24-COMPB08-28,Semester 2,87
24-COMPB09-28,Semester 2,90
24-COMPB10-28,Semester 2,79
24-COMPB11-28,Semester 2,86
24-COMPB12-28,Semester 2,94
24-COMPB13-28,Semester 2,80
24-COMPB14-28,Semester 2,96
24-COMPB15-28,Semester 2,84
24-COMPB16-28,Semester 2,90
24-COMPB17-28,Semester 2,90
24-COMPB18-28,Semester 2,81
24-COMPB19-28,Semester 2,86
24-COMPB20-28,Semester 2,85
24-COMPB21-28,Semester 2,90
24-COMPB22-28,Semester 2,87
24-COMPB23-28,Semester 2,98
24-COMPB24-28,Semester 2,89
24-COMPB25-28,Semester 2,98
24-COMPB26-28,Semester 2,91
24-COMPB27-28,Semester 2,87
24-COMPB28-28,Semester 2,95
24-COMPB29-28,Semester 2,85
24-COMPB30-28,Semester 2,90
24-COMPB31-28,Semester 2,73
24-COMPB32-28,Semester 2,91
24-COMPB33-28,Semester 2,94
24-COMPB34-28,Semester 2,93
24-COMPB35-28,Semester 2,90
24-COMPB36-28,Semester 2,90
24-COMPB37-28,Semester 2,84
24-COMPB38-28,Semester 2,88
24-COMPB39-28,Semester 2,73
24-COMPB40-28,Semester 2,83
24-COMPB41-28,Semester 2,73
24-COMPB42-28,Semester 2,73
24-COMPB43-28,Semester 2,87
24-COMPB44-28,Semester 2,89
24-COMPB45-28,Semester 2,90
24-COMPB46-28,Semester 2,87
24-COMPB47-28,Semester 2,94
24-COMPB49-28,Semester 2,85
24-COMPB50-28,Semester 2,73
24-COMPB51-28,Semester 2,91
24-COMPB52-28,Semester 2,73
24-COMPB53-28,Semester 2,92
24-COMPB54-28,Semester 2,93
24-COMPB55-28,Semester 2,93
24-COMPB56-28,Semester 2,86
24-COMPB57-28,Semester 2,87
24-COMPB58-28,Semester 2,86
24-COMPB59-28,Semester 2,97
24-COMPB60-28,Semester 2,96
24-COMPB61-28,Semester 2,83
24-COMPB62-28,Semester 2,93
24-COMPB63-28,Semester 2,94
25-COMPB64-28,Semester 2,0
25-COMPB65-28,Semester 2,0
25-COMPB66-28,Semester 2,0
25-COMPB67-28,Semester 2,0
25-COMPB68-28,Semester 2,0
25-COMPB69-28,Semester 2,0
24-COMPC01-28,Semester 2,0
24-COMPC02-28,Semester 2,89
24-COMPC03-28,Semester 2,87
24-COMPC04-28,Semester 2,93
24-COMPC05-28,Semester 2,86
24-COMPC06-28,Semester 2,88
24-COMPC07-28,Semester 2,90
24-COMPC08-28,Semester 2,88
24-COMPC09-28,Semester 2,96
24-COMPC10-28,Semester 2,80
24-COMPC11-28,Semester 2,93
24-COMPC12-28,Semester 2,93
24-COMPC13-28,Semester 2,86
24-COMPC14-28,Semester 2,88
24-COMPC15-28,Semester 2,89
24-COMPC16-28,Semester 2,91
24-COMPC17-28,Semester 2,91
24-COMPC18-28,Semester 2,94
24-COMPC19-28,Semester 2,83
24-COMPC20-28,Semester 2,80
24-COMPC21-28,Semester 2,94
24-COMPC22-28,Semester 2,89
24-COMPC23-28,Semester 2,80
24-COMPC24-28,Semester 2,85
24-COMPC25-28,Semester 2,81
24-COMPC26-28,Semester 2,95
24-COMPC27-28,Semester 2,83
24-COMPC28-28,Semester 2,83
24-COMPC29-28,Semester 2,85
24-COMPC30-28,Semester 2,92
24-COMPC31-28,Semester 2,93
24-COMPC32-28,Semester 2,96
24-COMPC33-28,Semester 2,96
24-COMPC34-28,Semester 2,95
24-COMPC35-28,Semester 2,94
24-COMPC36-28,Semester 2,91
24-COMPC37-28,Semester 2,81
24-COMPC38-28,Semester 2,93
24-COMPC39-28,Semester 2,90
24-COMPC40-28,Semester 2,86
24-COMPC41-28,Semester 2,75
24-COMPC42-28,Semester 2,91
24-COMPC43-28,Semester 2,94
24-COMPC44-28,Semester 2,81
24-COMPC45-28,Semester 2,91
24-COMPC46-28,Semester 2,73
24-COMPC47-28,Semester 2,86
24-COMPC48-28,Semester 2,80
24-COMPC49-28,Semester 2,97
24-COMPC50-28,Semester 2,83
24-COMPC51-28,Semester 2,94
24-COMPC52-28,Semester 2,94
24-COMPC53-28,Semester 2,91
24-COMPC54-28,Semester 2,87
24-COMPC55-28,Semester 2,87
24-COMPC56-28,Semester 2,75
24-COMPC57-28,Semester 2,91
24-COMPC58-28,Semester 2,87
24-COMPC59-28,Semester 2,75
24-COMPC60-28,Semester 2,83
24-COMPC61-28,Semester 2,97
24-COMPC62-28,Semester 2,89
24-COMPC63-28,Semester 2,75
25-COMPC64-28,Semester 2,94
25-COMPC65-28,Semester 2,0
25-COMPC66-28,Semester 2,0
25-COMPC67-28,Semester 2,0
25-COMPC68-28,Semester 2,0
25-COMPC69-28,Semester 2,0
24-COMPD01-28,Semester 2,0
24-COMPD02-28,Semester 2,78
24-COMPD03-28,Semester 2,80
24-COMPD04-28,Semester 2,85
24-COMPD05-28,Semester 2,84
24-COMPD06-28,Semester 2,88
24-COMPD07-28,Semester 2,91
24-COMPD08-28,Semester 2,81
24-COMPD09-28,Semester 2,94
24-COMPD10-28,Semester 2,84
24-COMPD11-28,Semester 2,95
24-COMPD12-28,Semester 2,96
24-COMPD13-28,Semester 2,88
24-COMPD14-28,Semester 2,81
24-COMPD15-28,Semester 2,78
24-COMPD16-28,Semester 2,98
24-COMPD17-28,Semester 2,89
24-COMPD18-28,Semester 2,85
24-COMPD19-28,Semester 2,84
24-COMPD20-28,Semester 2,79
24-COMPD21-28,Semester 2,82
24-COMPD22-28,Semester 2,96
24-COMPD23-28,Semester 2,82
24-COMPD24-28,Semester 2,85
24-COMPD25-28,Semester 2,86
24-COMPD26-28,Semester 2,92
24-COMPD27-28,Semester 2,88
24-COMPD28-28,Semester 2,88
24-COMPD29-28,Semester 2,84
24-COMPD30-28,Semester 2,82
24-COMPD31-28,Semester 2,93
24-COMPD32-28,Semester 2,94
24-COMPD33-28,Semester 2,91
24-COMPD34-28,Semester 2,82
